"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"132","Pontederia cordata","pickerelweed","Plantae","2022-08-23","Acadia National Park, Mount Desert, ME, US",44.3220466667,-68.25473,5,3634893,"false","https://www.inaturalist.org/observations/132068004","https://inaturalist-open-data.s3.amazonaws.com/photos/224848379/medium.jpg"
"133","Toxomerus marginatus","margined calligrapher","Insecta","2022-08-23","Acadia National Park, Winter Harbor, ME, US",44.33433,-68.05175,4,1091552,"false","https://www.inaturalist.org/observations/132058888","https://inaturalist-open-data.s3.amazonaws.com/photos/224831254/medium.jpg"
"134","Viburnum cassinoides","northern wild raisin","Plantae","2022-08-23","Acadia National Park, Southwest Harbor, ME, US",44.2327392693,-68.3254890314,300,1910545,"false","https://www.inaturalist.org/observations/132020592","https://inaturalist-open-data.s3.amazonaws.com/photos/224761771/medium.jpg"
"135","Ganoderma tsugae","hemlock varnish shelf","Fungi","2022-08-23","Acadia National Park, Bar Harbor, ME, US",44.3673283333,-68.2137966667,34,5787077,"false","https://www.inaturalist.org/observations/132015041","https://inaturalist-open-data.s3.amazonaws.com/photos/224785764/medium.jpg"
"136","Monotropa uniflora","ghost pipe","Plantae","2022-08-23","Acadia National Park, Bar Harbor, ME, US",44.3631961802,-68.2093733736,237,6024596,"false","https://www.inaturalist.org/observations/132011101","https://inaturalist-open-data.s3.amazonaws.com/photos/224989065/medium.jpg"
"137","Pelecinus polyturator","american pelecinid wasp","Insecta","2022-08-22","Bar Harbor, ME 04609, USA",44.3625626333,-68.2081608474,15,550423,"false","https://www.inaturalist.org/observations/132000097","https://inaturalist-open-data.s3.amazonaws.com/photos/224723735/medium.jpeg"
"138","Cupido comyntas","eastern tailed-blue","Insecta","2022-08-22","Schoodic Institute",44.336174478,-68.0595185235,182,256926,"false","https://www.inaturalist.org/observations/131962458","https://inaturalist-open-data.s3.amazonaws.com/photos/224653000/medium.jpeg"
"139","Comptonia peregrina","sweetfern","Plantae","2022-08-22","Acadia National Park, Bass Harbor, ME, US",44.2402083333,-68.3038783333,4,2846903,"false","https://www.inaturalist.org/observations/131958959","https://inaturalist-open-data.s3.amazonaws.com/photos/224646530/medium.jpg"
"140","Pontederia cordata","pickerelweed","Plantae","2022-08-22","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3357999716,-68.1919851155,390,4229344,"false","https://www.inaturalist.org/observations/131953464","https://inaturalist-open-data.s3.amazonaws.com/photos/224769263/medium.jpg"
"141","Lithobates clamitans","green frog","Amphibia","2022-08-22","Jordan Pond Path Trailhead",44.3229493207,-68.2537107915,177,3627576,"false","https://www.inaturalist.org/observations/131946189","https://inaturalist-open-data.s3.amazonaws.com/photos/224621867/medium.jpeg"
"142","Cornus canadensis","canadian bunchberry","Plantae","2022-08-22","Acadia National Park, Southwest Harbor, ME, US",44.2310616667,-68.323525,4,3179966,"false","https://www.inaturalist.org/observations/131939310","https://inaturalist-open-data.s3.amazonaws.com/photos/224726373/medium.jpg"
"143","Viburnum cassinoides","northern wild raisin","Plantae","2022-08-22","Acadia National Park, Hancock County, US-ME, US",44.3363138563,-68.0593410115,295,2955050,"false","https://www.inaturalist.org/observations/131936018","https://inaturalist-open-data.s3.amazonaws.com/photos/224602484/medium.jpg"
"144","Comptonia peregrina","sweetfern","Plantae","2022-08-22","Acadia National Park, Hancock County, US-ME, US",44.3368575766,-68.0602721263,168,2955050,"false","https://www.inaturalist.org/observations/131935961","https://inaturalist-open-data.s3.amazonaws.com/photos/224602410/medium.jpg"
"145","Danaus plexippus","monarch","Insecta","2022-08-22","Parque Nacional Acadia, Bar Harbor, ME, US",44.3975977321,-68.2093139459,5,3045809,"false","https://www.inaturalist.org/observations/131905525","https://inaturalist-open-data.s3.amazonaws.com/photos/224544433/medium.jpg"
"146","Aralia nudicaulis","wild sarsaparilla","Plantae","2022-08-22","Northeast Harbor, ME 04662, USA",44.31336207,-68.28411588,11,3020288,"false","https://www.inaturalist.org/observations/131892051","https://inaturalist-open-data.s3.amazonaws.com/photos/224519201/medium.jpeg"
"147","Junco hyemalis","dark-eyed junco","Aves","2022-08-28","Southwest Harbor, ME, USA",44.2451472222,-68.3087388889,NA,272228,"false","https://www.inaturalist.org/observations/132853160","https://inaturalist-open-data.s3.amazonaws.com/photos/226199583/medium.jpg"
"148","Carcinus maenas","european green crab","Animalia","2022-08-28","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.221763,-68.336826,NA,3665545,"false","https://www.inaturalist.org/observations/132727737","https://static.inaturalist.org/photos/226006533/medium.jpeg"
"149","Somateria mollissima","common eider","Aves","2022-08-26","Acadia National Park, Southwest Harbor, ME, US",44.2428302371,-68.2994934561,54,4016353,"false","https://www.inaturalist.org/observations/132569705","https://inaturalist-open-data.s3.amazonaws.com/photos/225751376/medium.jpg"
"150","Somateria mollissima","common eider","Aves","2022-08-24","Acadia National Park, Bass Harbor, ME, US",44.2426008514,-68.2995158187,143,4016353,"false","https://www.inaturalist.org/observations/132569675","https://inaturalist-open-data.s3.amazonaws.com/photos/225751291/medium.jpg"
"151","Melanoplus bivittatus","two-striped grasshopper","Insecta","2022-08-27","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.37777051,-68.24928048,3,3665545,"false","https://www.inaturalist.org/observations/132557503","https://static.inaturalist.org/photos/225727993/medium.jpeg"
"152","Metridium senile","plumose anemone","Animalia","2022-08-27","Southwest Harbor",44.2218399048,-68.3366928101,133,665563,"false","https://www.inaturalist.org/observations/132553775","https://inaturalist-open-data.s3.amazonaws.com/photos/225720771/medium.jpeg"
"153","Cichorium intybus","chicory","Plantae","2022-08-26","Farview Dr, Birch Harbor, ME, US",44.3805366667,-68.0658861667,4,4014426,"false","https://www.inaturalist.org/observations/132485736","https://inaturalist-open-data.s3.amazonaws.com/photos/225609981/medium.jpg"
"154","Tringa melanoleuca","greater yellowlegs","Aves","2022-08-25","Frazer Point, Winter Harbor, ME 04693, USA",44.3756358,-68.0747287,1550,256926,"false","https://www.inaturalist.org/observations/132485048","https://inaturalist-open-data.s3.amazonaws.com/photos/225608294/medium.jpg"
"155","Cercyonis pegala","common wood-nymph","Insecta","2022-08-25","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,182,256926,"false","https://www.inaturalist.org/observations/132485046","https://inaturalist-open-data.s3.amazonaws.com/photos/225608240/medium.jpg"
"156","Larus marinus","great black-backed gull","Aves","2022-08-25","Schoodic Point, Winter Harbor, ME 04693, USA",44.3323493,-68.0610361,1551,256926,"false","https://www.inaturalist.org/observations/132485045","https://inaturalist-open-data.s3.amazonaws.com/photos/225608201/medium.jpg"
"157","Lycaena phlaeas","small copper","Insecta","2022-08-22","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,182,256926,"false","https://www.inaturalist.org/observations/132485040","https://inaturalist-open-data.s3.amazonaws.com/photos/225608154/medium.jpg"
