"scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url"
"Solanum dulcamara","bittersweet nightshade","Plantae",2022-09-26,"Acadia National Park, Mount Desert, ME, US",44.2974883333,-68.215155,8,"jnaffy",3083380,"false","https://www.inaturalist.org/observations/136585083","https://inaturalist-open-data.s3.amazonaws.com/photos/233251552/medium.jpg"
"Rosa rugosa","rugosa rose","Plantae",2022-09-21,"Acadia National Park, Winter Harbor, ME, US",44.3321323478,-68.0509348692,4,"laura_klein",6168528,"false","https://www.inaturalist.org/observations/136095912","https://static.inaturalist.org/photos/232220645/medium.jpg"
