"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"1","Daucus carota","wild carrot","Plantae","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3358033333,-68.0585861667,4,1552603,"false","https://www.inaturalist.org/observations/131594118","https://inaturalist-open-data.s3.amazonaws.com/photos/223966126/medium.jpg"
"2","Geranium robertianum","herb robert","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.335138,-68.0463859722,NA,4465482,"false","https://www.inaturalist.org/observations/131810573","https://inaturalist-open-data.s3.amazonaws.com/photos/224365596/medium.jpeg"
"3","Lotus corniculatus","bird's-foot trefoil","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.336114,-68.0589762,16,531333,"false","https://www.inaturalist.org/observations/131583001","https://inaturalist-open-data.s3.amazonaws.com/photos/223945561/medium.jpeg"
"4","Prunella vulgaris","common selfheal","Plantae","2022-08-21","Mt Desert, ME, USA",44.3204084082,-68.2729351269,8772,2740046,"false","https://www.inaturalist.org/observations/132071661","https://inaturalist-open-data.s3.amazonaws.com/photos/224855227/medium.jpeg"
"5","Rosa rugosa","rugosa rose","Plantae","2022-08-18","Hancock County, US-ME, US",44.3189716626,-68.2337339356,3,5175135,"false","https://www.inaturalist.org/observations/131441381","https://static.inaturalist.org/photos/223686279/medium.jpeg"
"6","Tanacetum vulgare","tansy","Plantae","2022-08-23","Acadia National Park, Bar Harbor, ME, US",44.3272883333,-68.185455,5,3634893,"false","https://www.inaturalist.org/observations/132068361","https://inaturalist-open-data.s3.amazonaws.com/photos/224849253/medium.jpg"
"7","Trifolium pratense","red clover","Plantae","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3403033333,-68.0608528333,9,255732,"false","https://www.inaturalist.org/observations/131581540","https://inaturalist-open-data.s3.amazonaws.com/photos/223960854/medium.jpg"
