"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url"
"1","Calluna vulgaris","common heather","Plantae",2022-09-10,"Acadia National Park, Mount Desert, ME, US",44.31938,-68.316825,5,"lucianvazquez",1770255,"false","https://www.inaturalist.org/observations/134537032","https://inaturalist-open-data.s3.amazonaws.com/photos/229338344/medium.jpg"
"2","Cypripedium acaule","pink lady's slipper","Plantae",2022-09-06,"Acadia National Park, Bar Harbor, ME, US",44.3348833333,-68.1919333333,NA,"nkiehl",1010930,"false","https://www.inaturalist.org/observations/134606861","https://static.inaturalist.org/photos/229467979/medium.jpg"
