scientific.name,common.name,iconic.taxon.name,observed.on,place.guess,latitude,longitude,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.390837,-68.235699,NA,NA,NA,NA,https://ebird.org/checklist/S118386540,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.3319015,-68.186077,NA,NA,NA,NA,https://ebird.org/checklist/S118393530,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.320651,-68.1887506,NA,NA,NA,NA,https://ebird.org/checklist/S118379895,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.3688395,-68.2719612,NA,NA,NA,NA,https://ebird.org/checklist/S118434756,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118349617,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-08,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118346127,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-08,NA,44.3985285,-68.2063437,NA,NA,NA,NA,https://ebird.org/checklist/S118339264,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-08,NA,44.3280825,-68.2593258,NA,NA,NA,NA,https://ebird.org/checklist/S118339654,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-08,NA,44.3481336,-68.2717656,NA,NA,NA,NA,https://ebird.org/checklist/S118359071,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-08,NA,44.3210234,-68.2540226,NA,NA,NA,NA,https://ebird.org/checklist/S118321900,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-08,NA,44.2533766,-68.3407102,NA,NA,NA,NA,https://ebird.org/checklist/S118314832,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-07,NA,44.3207266,-68.1896245,NA,NA,NA,NA,https://ebird.org/checklist/S118324076,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-07,NA,44.366956,-68.076409,NA,NA,NA,NA,https://ebird.org/checklist/S118284639,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-07,NA,44.3437783,-68.0510817,NA,NA,NA,NA,https://ebird.org/checklist/S118285948,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-07,NA,44.3329687,-68.2666183,NA,NA,NA,NA,https://ebird.org/checklist/S118313838,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-07,NA,44.3510205,-68.1898588,NA,NA,NA,NA,https://ebird.org/checklist/S118282873,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-06,NA,44.3754377,-68.0752723,NA,NA,NA,NA,https://ebird.org/checklist/S118224770,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-06,NA,44.3338535,-68.1804979,NA,NA,NA,NA,https://ebird.org/checklist/S118216867,NA
Megaceryle alcyon,belted kingfisher,Aves,2022-09-12,NA,44.3403019,-68.0582428,NA,NA,NA,NA,https://ebird.org/checklist/S118560604,NA
Megaceryle alcyon,belted kingfisher,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118558486,NA
Megaceryle alcyon,belted kingfisher,Aves,2022-09-11,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118501519,NA
Megaceryle alcyon,belted kingfisher,Aves,2022-09-10,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118455897,NA
Megaceryle alcyon,belted kingfisher,Aves,2022-09-07,NA,44.366956,-68.076409,NA,NA,NA,NA,https://ebird.org/checklist/S118284639,NA
Vireo philadelphicus,philadelphia vireo,Aves,2022-09-10,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118444220,NA
Vireo philadelphicus,philadelphia vireo,Aves,2022-09-09,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118426539,NA
Cyanocitta cristata,blue jay,Aves,2022-09-12,NA,44.3023735,-68.3142483,NA,NA,NA,NA,https://ebird.org/checklist/S118566697,NA
Cyanocitta cristata,blue jay,Aves,2022-09-12,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118562944,NA
Cyanocitta cristata,blue jay,Aves,2022-09-12,NA,44.3002228,-68.3505289,NA,NA,NA,NA,https://ebird.org/checklist/S118560737,NA
Cyanocitta cristata,blue jay,Aves,2022-09-12,NA,44.3080944,-68.3550911,NA,NA,NA,NA,https://ebird.org/checklist/S118561619,NA
Cyanocitta cristata,blue jay,Aves,2022-09-12,NA,44.3068379,-68.3367205,NA,NA,NA,NA,https://ebird.org/checklist/S118559715,NA
Cyanocitta cristata,blue jay,Aves,2022-09-12,NA,44.314947,-68.3361143,NA,NA,NA,NA,https://ebird.org/checklist/S118558907,NA
Cyanocitta cristata,blue jay,Aves,2022-09-12,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118557302,NA
Cyanocitta cristata,blue jay,Aves,2022-09-12,NA,44.3656489,-68.2081032,NA,NA,NA,NA,https://ebird.org/checklist/S118559570,NA
Cyanocitta cristata,blue jay,Aves,2022-09-11,NA,44.3766313,-68.2511902,NA,NA,NA,NA,https://ebird.org/checklist/S118520221,NA
Cyanocitta cristata,blue jay,Aves,2022-09-11,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118505143,NA
Cyanocitta cristata,blue jay,Aves,2022-09-11,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118501519,NA
Cyanocitta cristata,blue jay,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118461873,NA
Cyanocitta cristata,blue jay,Aves,2022-09-10,NA,44.3669684,-68.2070087,NA,NA,NA,NA,https://ebird.org/checklist/S118436239,NA
Cyanocitta cristata,blue jay,Aves,2022-09-10,NA,44.3863961,-68.2543874,NA,NA,NA,NA,https://ebird.org/checklist/S118440682,NA
Cyanocitta cristata,blue jay,Aves,2022-09-10,NA,44.36181,-68.2079691,NA,NA,NA,NA,https://ebird.org/checklist/S118450943,NA
Cyanocitta cristata,blue jay,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Cyanocitta cristata,blue jay,Aves,2022-09-09,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118404570,NA
Cyanocitta cristata,blue jay,Aves,2022-09-09,NA,44.3500922,-68.0540156,NA,NA,NA,NA,https://ebird.org/checklist/S118393161,NA
Cyanocitta cristata,blue jay,Aves,2022-09-09,NA,44.3319015,-68.186077,NA,NA,NA,NA,https://ebird.org/checklist/S118393530,NA
Cyanocitta cristata,blue jay,Aves,2022-09-09,NA,44.3688395,-68.2719612,NA,NA,NA,NA,https://ebird.org/checklist/S118434756,NA
Cyanocitta cristata,blue jay,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118351022,NA
Cyanocitta cristata,blue jay,Aves,2022-09-08,NA,44.3280825,-68.2593258,NA,NA,NA,NA,https://ebird.org/checklist/S118339654,NA
Cyanocitta cristata,blue jay,Aves,2022-09-08,NA,44.3481336,-68.2717656,NA,NA,NA,NA,https://ebird.org/checklist/S118359071,NA
Cyanocitta cristata,blue jay,Aves,2022-09-08,NA,44.3210234,-68.2540226,NA,NA,NA,NA,https://ebird.org/checklist/S118321900,NA
Cyanocitta cristata,blue jay,Aves,2022-09-08,NA,44.2533766,-68.3407102,NA,NA,NA,NA,https://ebird.org/checklist/S118314832,NA
Cyanocitta cristata,blue jay,Aves,2022-09-07,NA,44.3510205,-68.1898588,NA,NA,NA,NA,https://ebird.org/checklist/S118282873,NA
Cyanocitta cristata,blue jay,Aves,2022-09-06,NA,44.365065,-68.241413,NA,NA,NA,NA,https://ebird.org/checklist/S118225814,NA
Cyanocitta cristata,blue jay,Aves,2022-09-06,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118216661,NA
Pandion haliaetus,osprey,Aves,2022-09-12,NA,44.3023735,-68.3142483,NA,NA,NA,NA,https://ebird.org/checklist/S118566697,NA
Pandion haliaetus,osprey,Aves,2022-09-12,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118562944,NA
Pandion haliaetus,osprey,Aves,2022-09-11,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118518682,NA
Pandion haliaetus,osprey,Aves,2022-09-09,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118426539,NA
Pandion haliaetus,osprey,Aves,2022-09-07,NA,44.3207266,-68.1896245,NA,NA,NA,NA,https://ebird.org/checklist/S118324076,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-12,NA,44.3324746,-68.0603456,NA,NA,NA,NA,https://ebird.org/checklist/S118561533,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118558486,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-11,NA,44.2959643,-68.2408261,NA,NA,NA,NA,https://ebird.org/checklist/S118524480,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-11,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118518682,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118461873,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-10,NA,44.4267926,-68.3651733,NA,NA,NA,NA,https://ebird.org/checklist/S118456564,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-09,NA,44.320651,-68.1887506,NA,NA,NA,NA,https://ebird.org/checklist/S118394752,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-09,NA,44.3386398,-68.0454782,NA,NA,NA,NA,https://ebird.org/checklist/S118393122,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-09,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118379908,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118349617,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-08,NA,44.3985285,-68.2063437,NA,NA,NA,NA,https://ebird.org/checklist/S118339264,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-08,NA,44.302136,-68.203222,NA,NA,NA,NA,https://ebird.org/checklist/S118331696,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-08,NA,44.2533766,-68.3407102,NA,NA,NA,NA,https://ebird.org/checklist/S118314832,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-07,NA,44.3207266,-68.1896245,NA,NA,NA,NA,https://ebird.org/checklist/S118324076,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-07,NA,44.366956,-68.076409,NA,NA,NA,NA,https://ebird.org/checklist/S118284639,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-07,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118275646,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-06,NA,44.3023735,-68.3142483,NA,NA,NA,NA,https://ebird.org/checklist/S118228066,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-06,NA,44.3754377,-68.0752723,NA,NA,NA,NA,https://ebird.org/checklist/S118224770,NA
Nannopterum auritum,double-crested cormorant,Aves,2022-09-06,NA,44.3338535,-68.1804979,NA,NA,NA,NA,https://ebird.org/checklist/S118216867,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-12,NA,44.314947,-68.3361143,NA,NA,NA,NA,https://ebird.org/checklist/S118558907,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118558486,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-12,NA,44.3656489,-68.2081032,NA,NA,NA,NA,https://ebird.org/checklist/S118559570,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-11,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118501519,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-10,NA,44.3669684,-68.2070087,NA,NA,NA,NA,https://ebird.org/checklist/S118436239,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-10,NA,44.3863961,-68.2543874,NA,NA,NA,NA,https://ebird.org/checklist/S118440682,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-09,NA,44.320651,-68.1887506,NA,NA,NA,NA,https://ebird.org/checklist/S118380056,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-08,NA,44.36181,-68.2079691,NA,NA,NA,NA,https://ebird.org/checklist/S118329347,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-08,NA,44.3210234,-68.2540226,NA,NA,NA,NA,https://ebird.org/checklist/S118321900,NA
Vireo olivaceus,red-eyed vireo,Aves,2022-09-06,NA,44.3338535,-68.1804979,NA,NA,NA,NA,https://ebird.org/checklist/S118216867,NA
Cepphus grylle,black guillemot,Aves,2022-09-12,NA,44.3324746,-68.0603456,NA,NA,NA,NA,https://ebird.org/checklist/S118562426,NA
Cepphus grylle,black guillemot,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118558486,NA
Cepphus grylle,black guillemot,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118447788,NA
Cepphus grylle,black guillemot,Aves,2022-09-09,NA,44.3208565,-68.188292,NA,NA,NA,NA,https://ebird.org/checklist/S118510327,NA
Cepphus grylle,black guillemot,Aves,2022-09-09,NA,44.3386398,-68.0454782,NA,NA,NA,NA,https://ebird.org/checklist/S118393122,NA
Cepphus grylle,black guillemot,Aves,2022-09-09,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118467358,NA
Cepphus grylle,black guillemot,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118349617,NA
Cepphus grylle,black guillemot,Aves,2022-09-08,NA,44.4084752,-68.2463949,NA,NA,NA,NA,https://ebird.org/checklist/S118350994,NA
Cepphus grylle,black guillemot,Aves,2022-09-07,NA,44.3207266,-68.1896245,NA,NA,NA,NA,https://ebird.org/checklist/S118324076,NA
Cepphus grylle,black guillemot,Aves,2022-09-07,NA,44.3437783,-68.0510817,NA,NA,NA,NA,https://ebird.org/checklist/S118285948,NA
Cepphus grylle,black guillemot,Aves,2022-09-06,NA,44.3985285,-68.2063437,NA,NA,NA,NA,https://ebird.org/checklist/S118243942,NA
Somateria mollissima,common eider,Aves,2022-09-12,NA,44.3324746,-68.0603456,NA,NA,NA,NA,https://ebird.org/checklist/S118562426,NA
Somateria mollissima,common eider,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118567636,NA
Somateria mollissima,common eider,Aves,2022-09-11,NA,44.3297579,-68.184886,NA,NA,NA,NA,https://ebird.org/checklist/S118527643,NA
Somateria mollissima,common eider,Aves,2022-09-11,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118506930,NA
Somateria mollissima,common eider,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118461873,NA
Somateria mollissima,common eider,Aves,2022-09-10,NA,44.302749,-68.202823,NA,NA,NA,NA,https://ebird.org/checklist/S118450048,NA
Somateria mollissima,common eider,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Somateria mollissima,common eider,Aves,2022-09-09,NA,44.320651,-68.1887506,NA,NA,NA,NA,https://ebird.org/checklist/S118394752,NA
Somateria mollissima,common eider,Aves,2022-09-09,NA,44.302702,-68.202841,NA,NA,NA,NA,https://ebird.org/checklist/S118467328,NA
Somateria mollissima,common eider,Aves,2022-09-09,NA,44.3208565,-68.188292,NA,NA,NA,NA,https://ebird.org/checklist/S118510327,NA
Somateria mollissima,common eider,Aves,2022-09-09,NA,44.3386398,-68.0454782,NA,NA,NA,NA,https://ebird.org/checklist/S118393122,NA
Somateria mollissima,common eider,Aves,2022-09-08,NA,44.336492,-68.0563813,NA,NA,NA,NA,https://ebird.org/checklist/S118380090,NA
Somateria mollissima,common eider,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118349617,NA
Somateria mollissima,common eider,Aves,2022-09-08,NA,44.302136,-68.203222,NA,NA,NA,NA,https://ebird.org/checklist/S118331696,NA
Somateria mollissima,common eider,Aves,2022-09-07,NA,44.3207266,-68.1896245,NA,NA,NA,NA,https://ebird.org/checklist/S118324076,NA
Somateria mollissima,common eider,Aves,2022-09-07,NA,44.3437783,-68.0510817,NA,NA,NA,NA,https://ebird.org/checklist/S118285948,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-11,NA,44.3297579,-68.184886,NA,NA,NA,NA,https://ebird.org/checklist/S118527643,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-11,NA,44.3766313,-68.2511902,NA,NA,NA,NA,https://ebird.org/checklist/S118520221,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-11,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118505143,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-11,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118503915,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118447788,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-10,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118444220,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-10,NA,44.3863961,-68.2543874,NA,NA,NA,NA,https://ebird.org/checklist/S118440682,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-09,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118404570,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-09,NA,44.3324746,-68.0603456,NA,NA,NA,NA,https://ebird.org/checklist/S118393097,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-09,NA,44.3688395,-68.2719612,NA,NA,NA,NA,https://ebird.org/checklist/S118434756,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-09,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118379908,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-08,NA,44.3280825,-68.2593258,NA,NA,NA,NA,https://ebird.org/checklist/S118339654,NA
Setophaga coronata,yellow-rumped warbler,Aves,2022-09-07,NA,44.3329687,-68.2666183,NA,NA,NA,NA,https://ebird.org/checklist/S118313838,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-12,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118562944,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-12,NA,44.3403019,-68.0582428,NA,NA,NA,NA,https://ebird.org/checklist/S118560604,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-12,NA,44.314947,-68.3361143,NA,NA,NA,NA,https://ebird.org/checklist/S118558907,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118558486,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-12,NA,44.3656489,-68.2081032,NA,NA,NA,NA,https://ebird.org/checklist/S118559570,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-11,NA,44.2959643,-68.2408261,NA,NA,NA,NA,https://ebird.org/checklist/S118524480,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118461873,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-10,NA,44.4267926,-68.3651733,NA,NA,NA,NA,https://ebird.org/checklist/S118456564,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-10,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118460505,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-10,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118455897,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-10,NA,44.3023735,-68.3142483,NA,NA,NA,NA,https://ebird.org/checklist/S118559269,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-10,NA,44.3669684,-68.2070087,NA,NA,NA,NA,https://ebird.org/checklist/S118436239,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-10,NA,44.3863961,-68.2543874,NA,NA,NA,NA,https://ebird.org/checklist/S118440682,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-10,NA,44.36181,-68.2079691,NA,NA,NA,NA,https://ebird.org/checklist/S118450943,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-09,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118467358,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-09,NA,44.320651,-68.1887506,NA,NA,NA,NA,https://ebird.org/checklist/S118379895,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-09,NA,44.3688395,-68.2719612,NA,NA,NA,NA,https://ebird.org/checklist/S118434756,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118349617,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-08,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118343934,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-08,NA,44.3481336,-68.2717656,NA,NA,NA,NA,https://ebird.org/checklist/S118359071,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-08,NA,44.2533766,-68.3407102,NA,NA,NA,NA,https://ebird.org/checklist/S118314832,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-07,NA,44.3386398,-68.0454782,NA,NA,NA,NA,https://ebird.org/checklist/S118296701,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-07,NA,44.3227223,-68.201829,NA,NA,NA,NA,https://ebird.org/checklist/S118285824,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-07,NA,44.3510205,-68.1898588,NA,NA,NA,NA,https://ebird.org/checklist/S118282873,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-06,NA,44.3754377,-68.0752723,NA,NA,NA,NA,https://ebird.org/checklist/S118224770,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-06,NA,44.3455195,-68.2402897,NA,NA,NA,NA,https://ebird.org/checklist/S118225777,NA
Corvus brachyrhynchos,american crow,Aves,2022-09-06,NA,44.3338535,-68.1804979,NA,NA,NA,NA,https://ebird.org/checklist/S118216867,NA
Melospiza melodia,song sparrow,Aves,2022-09-12,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118562944,NA
Melospiza melodia,song sparrow,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118558486,NA
Melospiza melodia,song sparrow,Aves,2022-09-10,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118460505,NA
Melospiza melodia,song sparrow,Aves,2022-09-10,NA,44.3669684,-68.2070087,NA,NA,NA,NA,https://ebird.org/checklist/S118436239,NA
Melospiza melodia,song sparrow,Aves,2022-09-08,NA,44.36181,-68.2079691,NA,NA,NA,NA,https://ebird.org/checklist/S118345097,NA
Melospiza melodia,song sparrow,Aves,2022-09-08,NA,44.320651,-68.1887506,NA,NA,NA,NA,https://ebird.org/checklist/S118344111,NA
Melospiza melodia,song sparrow,Aves,2022-09-08,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118378541,NA
Melospiza melodia,song sparrow,Aves,2022-09-08,NA,44.3210234,-68.2540226,NA,NA,NA,NA,https://ebird.org/checklist/S118321900,NA
Melospiza melodia,song sparrow,Aves,2022-09-07,NA,44.3329687,-68.2666183,NA,NA,NA,NA,https://ebird.org/checklist/S118313838,NA
Melospiza melodia,song sparrow,Aves,2022-09-07,NA,44.4267926,-68.3651733,NA,NA,NA,NA,https://ebird.org/checklist/S118262227,NA
Melospiza melodia,song sparrow,Aves,2022-09-06,NA,44.3754377,-68.0752723,NA,NA,NA,NA,https://ebird.org/checklist/S118224770,NA
Melospiza melodia,song sparrow,Aves,2022-09-06,NA,44.3455195,-68.2402897,NA,NA,NA,NA,https://ebird.org/checklist/S118225777,NA
Melospiza melodia,song sparrow,Aves,2022-09-06,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118228123,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-12,NA,44.3403019,-68.0582428,NA,NA,NA,NA,https://ebird.org/checklist/S118560604,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-11,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118532476,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-10,NA,44.4267926,-68.3651733,NA,NA,NA,NA,https://ebird.org/checklist/S118456564,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-10,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118455897,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118447788,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-09,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118467358,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118349617,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-08,NA,44.2426166,-68.299427,NA,NA,NA,NA,https://ebird.org/checklist/S118324477,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-07,NA,44.3207266,-68.1896245,NA,NA,NA,NA,https://ebird.org/checklist/S118324076,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-07,NA,44.3227223,-68.201829,NA,NA,NA,NA,https://ebird.org/checklist/S118285824,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-07,NA,44.320651,-68.1887506,NA,NA,NA,NA,https://ebird.org/checklist/S118274225,NA
Larus delawarensis,ring-billed gull,Aves,2022-09-06,NA,44.3754377,-68.0752723,NA,NA,NA,NA,https://ebird.org/checklist/S118224770,NA
Turdus migratorius,american robin,Aves,2022-09-12,NA,44.314947,-68.3361143,NA,NA,NA,NA,https://ebird.org/checklist/S118558895,NA
Turdus migratorius,american robin,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118558486,NA
Turdus migratorius,american robin,Aves,2022-09-11,NA,44.3775634,-68.2286766,NA,NA,NA,NA,https://ebird.org/checklist/S118533888,NA
