scientific.name,common.name,iconic.taxon.name,observed.on,place.guess,latitude,longitude,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url
Dolichovespula arenaria,common aerial yellowjacket,Insecta,2022-09-10,"Acadia National Park, Mount Desert, ME, US",44.3208616667,-68.2535633333,4,rickowen,1875150,false,https://www.inaturalist.org/observations/134490201,https://static.inaturalist.org/photos/229247250/medium.jpg
Agarum clathratum,sieve kelp,Chromista,2022-09-10,"Acadia National Park, Southwest Harbor, ME, US",44.2283139793,-68.3162539572,9,hannahwebber,76300,false,https://www.inaturalist.org/observations/134484439,https://inaturalist-open-data.s3.amazonaws.com/photos/229240018/medium.jpg
Fomitopsis betulina,birch polypore,Fungi,2022-09-10,"Acadia National Park, Bar Harbor, ME, US",44.3381061266,-68.196223341,7,greg557,4893440,false,https://www.inaturalist.org/observations/134457689,https://static.inaturalist.org/photos/229186971/medium.jpg
Larus argentatus,herring gull,Aves,2022-09-08,"Bar Harbor, ME 04609, USA",44.3079525016,-68.1893692911,679,midnightangelphoto,3600670,false,https://www.inaturalist.org/observations/134432178,https://static.inaturalist.org/photos/229141731/medium.jpeg
Larus marinus,great black-backed gull,Aves,2022-09-08,"Bar Harbor, ME 04609, USA",44.3074354671,-68.1904505566,2066,midnightangelphoto,3600670,false,https://www.inaturalist.org/observations/134432046,https://static.inaturalist.org/photos/229141529/medium.jpeg
Agalinis purpurea parviflora,small-flower false foxglove,Plantae,2022-09-09,"Hancock County, US-ME, US",44.2836039394,-68.3349097628,11,oliverdabomb,5324414,false,https://www.inaturalist.org/observations/134413488,https://static.inaturalist.org/photos/229109051/medium.jpg
Ilex mucronata,mountain holly,Plantae,2022-09-09,"Parc National d'Acadie, Bar Harbor, ME, US",44.3498166667,-68.1916966667,4,benlapointe,1632100,false,https://www.inaturalist.org/observations/134350016,https://inaturalist-open-data.s3.amazonaws.com/photos/228986788/medium.jpg
Epifagus virginiana,beechdrops,Plantae,2022-09-09,"Bar Harbor, ME 04609, USA",44.3628048,-68.2026154,2299,danielcarr,2895993,false,https://www.inaturalist.org/observations/134323618,https://static.inaturalist.org/photos/228938322/medium.jpeg
Epifagus virginiana,beechdrops,Plantae,2022-09-07,"Acadia National Park, Bar Harbor, ME, US",44.3555633333,-68.2658616667,5,lucianvazquez,1770255,false,https://www.inaturalist.org/observations/134256378,https://inaturalist-open-data.s3.amazonaws.com/photos/228813659/medium.jpg
Doellingeria umbellata,flat-top white aster,Plantae,2022-09-07,"Acadia National Park, Bar Harbor, ME, US",44.3773333333,-68.2529366667,5,lucianvazquez,1770255,false,https://www.inaturalist.org/observations/134256172,https://inaturalist-open-data.s3.amazonaws.com/photos/228813295/medium.jpg
Viburnum lantanoides,hobblebush,Plantae,2022-09-07,"Acadia National Park, Bar Harbor, ME, US",44.3556116667,-68.2689283333,10,lucianvazquez,1770255,false,https://www.inaturalist.org/observations/134255844,https://inaturalist-open-data.s3.amazonaws.com/photos/228812451/medium.jpg
Artomyces pyxidatus,crown-tipped coral fungus,Fungi,2022-09-07,"Acadia National Park, Bar Harbor, ME, US",44.3559533333,-68.2681666667,10,lucianvazquez,1770255,false,https://www.inaturalist.org/observations/134255797,https://inaturalist-open-data.s3.amazonaws.com/photos/228812398/medium.jpg
Bolitotherus cornutus,forked fungus beetle,Insecta,2022-09-07,"Acadia National Park, Bar Harbor, ME, US",44.3564383333,-68.267145,5,lucianvazquez,1770255,false,https://www.inaturalist.org/observations/134255745,https://inaturalist-open-data.s3.amazonaws.com/photos/228812326/medium.jpg
Thamnophis sirtalis,common garter snake,Reptilia,2022-09-07,"Acadia National Park, Birch Harbor, ME, US",44.338695,-68.061225,17,nfisichelli,255732,false,https://www.inaturalist.org/observations/134114189,https://inaturalist-open-data.s3.amazonaws.com/photos/228548251/medium.jpg
Climacodon septentrionalis,northern tooth,Fungi,2022-09-07,"Acadia National Park, Bar Harbor, ME, US",44.3746466667,-68.1920466667,5,dayanakrawchuk,2361934,false,https://www.inaturalist.org/observations/134097211,https://static.inaturalist.org/photos/228515623/medium.jpg
Apis mellifera,western honey bee,Insecta,2022-09-07,"Acadia National Park, Southwest Harbor, ME, US",44.2561887558,-68.3479751808,346,marahall001,5766555,false,https://www.inaturalist.org/observations/134084169,https://static.inaturalist.org/photos/228491140/medium.jpg
Hericium coralloides,coral tooth fungus,Fungi,2022-09-06,"Acadia National Park, Southwest Harbor, ME, US",44.310855,-68.342995,5,jennifer792,1350093,false,https://www.inaturalist.org/observations/134084089,https://static.inaturalist.org/photos/228491033/medium.jpg
Storeria occipitomaculata,red-bellied snake,Reptilia,2022-09-07,"Acadia National Park, Birch Harbor, ME, US",44.3458622788,-68.0609758851,4,riski,1423154,false,https://www.inaturalist.org/observations/134083614,https://inaturalist-open-data.s3.amazonaws.com/photos/228805582/medium.jpg
Limax maximus,leopard slug,Mollusca,2022-09-06,Mount Desert,44.3065032959,-68.2047653198,5005,c_uhlenbrauck,5939860,false,https://www.inaturalist.org/observations/133983036,https://inaturalist-open-data.s3.amazonaws.com/photos/228302681/medium.jpeg
Limax maximus,leopard slug,Mollusca,2022-09-05,"Acadia National Park, Mount Desert, ME, US",44.3127833333,-68.2074283333,4,aspring,445906,false,https://www.inaturalist.org/observations/133848759,https://inaturalist-open-data.s3.amazonaws.com/photos/228053514/medium.jpg
Dryopteris marginalis,marginal wood fern,Plantae,2022-09-05,"Acadia National Park, Mount Desert, ME, US",44.3089868716,-68.3190021127,27,hannahwebber,76300,false,https://www.inaturalist.org/observations/133799360,https://inaturalist-open-data.s3.amazonaws.com/photos/227960494/medium.jpg
Geranium robertianum,herb robert,Plantae,2022-09-05,"Acadia National Park, Mount Desert, ME, US",44.3111936342,-68.3192029672,13,hannahwebber,76300,false,https://www.inaturalist.org/observations/133797979,https://inaturalist-open-data.s3.amazonaws.com/photos/227958151/medium.jpg
Cardinalis cardinalis,northern cardinal,Aves,2022-09-10,NA,44.36181,-68.2079691,NA,NA,NA,NA,https://ebird.org/checklist/S118450943,NA
Cardinalis cardinalis,northern cardinal,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Cardinalis cardinalis,northern cardinal,Aves,2022-09-09,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118426539,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-11,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118503915,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-10,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118466042,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118447788,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-09,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118404570,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-08,NA,44.36181,-68.2079691,NA,NA,NA,NA,https://ebird.org/checklist/S118345097,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-08,NA,44.4084752,-68.2463949,NA,NA,NA,NA,https://ebird.org/checklist/S118350994,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-07,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118302508,NA
Archilochus colubris,ruby-throated hummingbird,Aves,2022-09-07,NA,44.3227223,-68.201829,NA,NA,NA,NA,https://ebird.org/checklist/S118285824,NA
Larus argentatus,herring gull,Aves,2022-09-12,NA,44.3324746,-68.0603456,NA,NA,NA,NA,https://ebird.org/checklist/S118562426,NA
